id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,clave_partido
17329,1990-06-10,Germany,Yugoslavia,4,1,FIFA World Cup,Milan,Italy,True,1990-06-10_Germany_Yugoslavia
17330,1990-06-10,United States,Czechoslovakia,1,5,FIFA World Cup,Florence,Italy,True,1990-06-10_United States_Czechoslovakia
17331,1990-06-11,Costa Rica,Scotland,1,0,FIFA World Cup,Genoa,Italy,True,1990-06-11_Costa Rica_Scotland
17332,1990-06-11,England,Republic of Ireland,1,1,FIFA World Cup,Cagliari,Italy,True,1990-06-11_England_Republic of Ireland
17333,1990-06-12,Belgium,South Korea,2,0,FIFA World Cup,Verona,Italy,True,1990-06-12_Belgium_South Korea
17334,1990-06-12,Netherlands,Egypt,1,1,FIFA World Cup,Palermo,Italy,True,1990-06-12_Netherlands_Egypt
17335,1990-06-13,Argentina,Russia,2,0,FIFA World Cup,Naples,Italy,True,1990-06-13_Argentina_Russia
17336,1990-06-13,Uruguay,Spain,0,0,FIFA World Cup,Udine,Italy,True,1990-06-13_Uruguay_Spain
17337,1990-06-14,Cameroon,Romania,2,1,FIFA World Cup,Bari,Italy,True,1990-06-14_Cameroon_Romania
17338,1990-06-14,Italy,United States,1,0,FIFA World Cup,Rome,Italy,False,1990-06-14_Italy_United States
17339,1990-06-14,Yugoslavia,Colombia,1,0,FIFA World Cup,Bologna,Italy,True,1990-06-14_Yugoslavia_Colombia
17340,1990-06-15,Austria,Czechoslovakia,0,1,FIFA World Cup,Florence,Italy,True,1990-06-15_Austria_Czechoslovakia
17341,1990-06-15,Germany,United Arab Emirates,5,1,FIFA World Cup,Milan,Italy,True,1990-06-15_Germany_United Arab Emirates
17342,1990-06-16,Brazil,Costa Rica,1,0,FIFA World Cup,Turin,Italy,True,1990-06-16_Brazil_Costa Rica
17343,1990-06-16,England,Netherlands,0,0,FIFA World Cup,Cagliari,Italy,True,1990-06-16_England_Netherlands
17344,1990-06-16,Sweden,Scotland,1,2,FIFA World Cup,Genoa,Italy,True,1990-06-16_Sweden_Scotland
17345,1990-06-17,Belgium,Uruguay,3,1,FIFA World Cup,Verona,Italy,True,1990-06-17_Belgium_Uruguay
17346,1990-06-17,Republic of Ireland,Egypt,0,0,FIFA World Cup,Palermo,Italy,True,1990-06-17_Republic of Ireland_Egypt
17347,1990-06-17,South Korea,Spain,1,3,FIFA World Cup,Udine,Italy,True,1990-06-17_South Korea_Spain
17348,1990-06-18,Argentina,Romania,1,1,FIFA World Cup,Naples,Italy,True,1990-06-18_Argentina_Romania
